Nha_thuoc,Dia_chi,dien_thoai
NT Đông Phát,"Lô 12 - MB 90, Chung Cư Đông Phát, Đông Vệ, Thanh Hóa, Thanh Hóa",0977886833
NT Dược Hà Nội,"Số 273, Quang Trung, Đông Vệ, Thanh Hóa, Thanh Hóa",0979426764
NT Hoa Bình DS: Lê Hồng Doan,"Số 293, Bà Triệu, Hàm Rồng, Thanh Hóa, Thanh Hóa",0398654227
NT Hoa Quế,"342, Trần Hưng Đạo, Lam Sơn, Thanh Hóa, Thanh Hóa",0912444060
NT Hoa Sự Dược sĩ Đặng Thị Hoa,"414, Quang trung, Đông Vệ, Thanh Hóa, Thanh Hóa",0915251228
NT Hoàng Oanh,"Ki ốt A23, Chợ Tân An Bình Mới, Lê Vãn, Đông Vệ, Thanh Hóa, Thanh Hóa",0987757842
NT Hồng Dân,"Thôn Phú Quý, Quảng Tâm, Thanh Hóa, Thanh Hóa",0976077536
NT Hưng Thịnh,"Số Nhà 166, Đường Lê Lai, Đông Hương, Thanh Hóa, Thanh Hóa",0987299454
NT Lê Dung,"Số 566, Trần Phú, Lam Sơn, Thanh Hóa, Thanh Hóa",0942094878
NT Long Hiền,"Số 199, Lê Lai, Đông Sơn, Thanh Hóa, Thanh Hóa",0912604074
NT Long Phượng,"Lô 14, Mặt Bằng 388, Phố Quang Trung 2, Đông Vệ, Thanh Hóa, Thanh Hóa",0904971338
NT Long Tuyết DS: Mai Thị Tuyết,"Số 02, Đội Cung, Đông Thọ, Thanh Hóa, Thanh Hóa",0916248858
NT Minh Quang,"Lô 23, LK(, An Hoạch, Thanh Hóa, Thanh Hóa",0978950486
NT Nam Duy,"Số 124, Thaành Tân, Quảng Thành, Thanh Hóa, Thanh Hóa",0968517788
NT Ngọc Chiến,"Số nhà 120, Trần Xuân Soạn, Đông Thọ, Thanh Hóa, Thanh Hóa",0357788948
NT Quỳnh Anh - DS: Nguyễn Thị Quỳnh Anh,"Chợ Giàng,, Thiệu Dương, Thanh Hóa, Thanh Hóa",0372253006
NT Sâm Tuấn,"Số 17, Lê Phụng Hiểu, Ba Đình, Thanh Hóa, Thanh Hóa",0912395402
NT Thanh Duợc,"334 Nguyễn Doãn Chất, Quảng Cát, Thanh Hóa, Thanh Hóa",0976078524
NT Thảo Lành,"Đông Thành, Đông Sơn, Thanh Hóa, Thanh Hóa",0987274996
NT Thiện Hà,"Số 490, Hải thượng lãn ông, Quảng Thắng, Thanh Hóa, Thanh Hóa",0986796778
NT Trường Hằng,"84, Nguyễn Duy Hiệu, Đông Hương, Thanh Hóa, Thanh Hóa",
NT Tường Vi,"Số 01 Lô 1, MBQH 1886, Dương Đình Nghệ, Đông Thọ, Thanh Hóa, Thanh Hóa",0947116815
NT Việt Vân Cty TNHH Dược phẩm Đông á,"Số 70, Minh Khai, Ba Đình, Thanh Hóa, Thanh Hóa",0976121509
NT Xuân Bình DS: Hoàng Thị Oanh,"141, Trường Thi, Trường Thi, Thanh Hóa, Thanh Hóa",0355643910
QT Lê Thị Hương ThơmCty CP DVTYT Thanh Hóa,"Số 232, Trần Phú, Lam Sơn, Thanh Hóa, Thanh Hóa",0912629459
QT Nam Thảo,"Số 220, Phố Môi, Quảng Tâm, Thanh Hóa, Thanh Hóa",0986700574
QT Nghị Huyền,"Số 5, Cao sơn, An Hoạch, Thanh Hóa, Thanh Hóa",0934643748
Quầy thuốc Hòa Huế,"Thôn Thạch Kiên, Quảng Tâm, Thanh Hóa, Thanh Hóa",0975484238
Quầy thuốc Tiến Hương,"Thôn 7, Quảng Cát, Thanh Hóa, Thanh Hóa",0976003512
Chi nhánh dược phẩm Thiệu Hóa Quầy thuốc số 2,"Số 258, tiểu khu 12, Vạn Hà, Thiệu Hóa, Thanh Hóa",0972559365
Đại lý thuốc tân dược -Nguyễn Thị Hằng,"Số 182, tiểu khu 3, Vạn Hà, Thiệu Hóa, Thanh Hóa",0963355733
NT Tâm An,"Số 210, tiểu khu 12, Vạn Hà, Thiệu Hóa, Thanh Hóa",0961798106
QT Linh Hương,"Số 21, Đường Vạn Hà, Vạn Hà, Thiệu Hóa, Thanh Hóa",0357517291
QT Luyện Hương,"SN119/QL45, Vạn Hà, Thiệu Hóa, Thanh Hóa",0903468223
QT Tâm Anh,"Ngã ba chè, Thiệu Đô, Thiệu Hóa, Thanh Hóa",0359689130
Quầy Thuốc Thắng Hưng,"Thôn 4, Thiệu Vận, Thiệu Hóa, Thanh Hóa",0949021553
Quầy Thuốc Vân Anh,"28 đường chợ Vạn,, Vạn Hà, Thiệu Hóa, Thanh Hóa",0985331789
CNDP Thọ XuânNhà thuốc GPP Đoàn Lê Hậu,"Số 277, Khu 6, Thọ Xuân, Thọ Xuân, Thanh Hóa",0824910005
CNDP Thọ XuânQuầy Thuốc Lê Thị Hòa,"Số 329, Khu 6, Thọ Xuân, Thọ Xuân, Thanh Hóa",0984729505
Hệ Thống Quầy thuốc Big Family Pharmacy 91 DS: Phạm Ngọc Phan,"Minh Thành1, Xuân Bái, Thọ Xuân, Thanh Hóa",0915856181
NT Hùng Nhung,"Phố Neo, Nam Giang, Thọ Xuân, Thanh Hóa",0392239226
QT Bắc ái,"Chợ Hương, Thọ Hải, Thọ Xuân, Thanh Hóa",0375938404
QT Lương Xuân,"Thôn Bột Thượng, Xuân Sơn, Thọ Xuân, Thanh Hóa",0979432838
QT Thanh Hằng DS: Lê Thị Hằng,"thôn Phong Lạc 1, Nam Giang, Thọ Xuân, Thanh Hóa",0982396911
Quầy Thuốc Bảo Anh,"Tứ Trụ, Thọ Diên, Thọ Xuân, Thanh Hóa",0904802391
Quầy thuốc An Sinh,"Khu phố Tân Lập, Sao Vàng, Thọ Xuân, Thanh Hóa",0972183393
Quầy Thuốc HÒA OANH,"Bắc Lương, Thọ Xuân, Thanh Hóa",0972169009
Quầy thuốc Nhất Nhất,"Khu 4, Lam Sơn, Thọ Xuân, Thanh Hóa",0966940263
Quầy Thuốc Thúy Viên,"Chợ Đoàn Kết, Lam Sơn, Thọ Xuân, Thanh Hóa",0934633592
Quầy Thuốc Mỹ Đình,"Xuân Thắng, Ngọc Phụng, Thường Xuân, Thanh Hóa",0834747679
Quầy thuốc Thanh Tú,"Thôn Thống Nhất, Xuân Dương, Thường Xuân, Thanh Hóa",0985102519
Công ty Dược An KhangĐại lý thuốc tân dược,"chợ kho, Hải Ninh, Tĩnh Gia, Thanh Hóa",0974967782
Công ty TNHH Dược Phẩm Thanh Tùng,"Thôn Trung Chính, Thị Xã Nghi Sơn, Hải Hòa, Tĩnh Gia, Thanh Hóa",0984050095
Cty CP VTYT Thanh Hóa chi nhánh DP Tĩnh Gia Quầy thuốc số 6,"Chợ Tân Dân, Thị Xã Nghi Sơn, Tân Dân, Tĩnh Gia, Thanh Hóa",0346751545
Hiệu thuốc số 12,"Tiểu khu 2, Thị xã Nghi Sơn, Trần Đức, Hải Hòa, Tĩnh Gia, Thanh Hóa",0983440157
Nhà Thuốc Quang Vinh,"Chợ Kho, Thị Xã Nghi Sơn,, Hải Ninh, Tĩnh Gia, Thanh Hóa",0339581032
Quầy thuốc Lê Sỹ Bồng,"Tiểu khu 5, Thị xã Nghi Sơn, Hải Hòa, Tĩnh Gia, Thanh Hóa",0965241693
Quầy Thuốc Mạnh Đức,"Chợ Đón, Thị Xã Nghi Sơn, Hải Châu, Tĩnh Gia, Thanh Hóa",0982632616
Quầy Thuốc Quỳnh Như,"Chợ Đón, Thị Xã Nghi Sơn, Hải Châu, Tĩnh Gia, Thanh Hóa",0985205470
Quầy thuốc số 45,"thôn Liên Trung, Thị Xã Nghi Sơn, Hải Bình, Tĩnh Gia, Thanh Hóa",0989220139
Quầy thuốc Thành Nhung,"Chợ Chào, Thị Xã Nghi Sơn, Thanh Sơn, Tĩnh Gia, Thanh Hóa",0978380582
Chi nhánh DP Triệu Sơn Đại lý bán lẻ thuốc số 09,"Số 39, Phố Giắt, Triệu Sơn, Triệu Sơn, Thanh Hóa",0985875485
Chi nhánh dược phẩm Triệu Sơn Nhà thuốc GPP số 1,"Số 49, Cn Dược, Triệu Sơn, Triệu Sơn, Thanh Hóa",0977160215
Chi nhánh dược phẩm Triệu Sơn Nhà thuốc số 6 Dược sĩ Trịnh Thị Liên,"Số 45, Phố Giắt, Triệu Sơn, Triệu Sơn, Thanh Hóa",0936490439
Chi nhánh dược phẩm Triệu Sơn Quầy thuốc Nguyễn Thị Hà,"Số 49, Cn Dược, Triệu Sơn, Triệu Sơn, Thanh Hóa",0949370568
DL bán lẻ thuốc TD Vinh Tư,"Số 48, Phố Thiều, Dân Lý, Triệu Sơn, Thanh Hóa",0976997559
Nhà Thuốc Dũng Linh,"Thị Tứ, Dân Lực, Triệu Sơn, Thanh Hóa",0975821644
NT Thu Hiền - NDD: Vũ Thi Thu Hiền,"số nhà 10, Tô Vĩnh Diện, Triệu Sơn, Triệu Sơn, Thanh Hóa",0962847798
QT Cường Hằng,"Số 43, Phố Thiều, Dân Lý, Triệu Sơn, Thanh Hóa",0399564082
QT Hào Tươi,"Thị tứ, Đồng Tiến, Triệu Sơn, Thanh Hóa",0966676035
QT Hiểu Trình,"Xóm 3, Khuyến Nông, Triệu Sơn, Thanh Hóa",0984222095
QT Ngọc Anh,"Phố Sim, Hợp Thành, Triệu Sơn, Thanh Hóa",0985220043
QT Thanh Hải,"Thôn 4, Thọ Sơn, Triệu Sơn, Thanh Hóa",0978732168
Quầy Thuốc Hoàng Nhung,"Thôn Trung Kiên, Thái Hòa, Triệu Sơn, Thanh Hóa",0968363525
Quầy thuốc Huy Hiền,"Số 49, Phố Thiều, Dân Lý, Triệu Sơn, Thanh Hóa",0935674999
Quầy Thuốc Lê Ly,"xóm 5, Hợp Thắng, Triệu Sơn, Thanh Hóa",0968084948
Quầy thuốc Long Khánh,"Thôn 12, Dân Lý, Triệu Sơn, Thanh Hóa",0356408573
Quầy Thuốc Mai Lẫm,"Số 41, Phố Giắt, Triệu Sơn, Triệu Sơn, Thanh Hóa",0392150818
Quầy thuốc Quỳnh Hằng,"Thôn Diễn Hòa, Hợp Thành, Triệu Sơn, Thanh Hóa",0379793859
Quầy Thuốc Trang Công,"Phố Đà, Thọ Dân, Triệu Sơn, Thanh Hóa",0912926342
Chi Nhánh DP Vĩnh LộcĐại Lý thuốc Tân Dược DS Vũ Thị Hợp,"Số 48, Khu 1, Vĩnh Lộc, Vĩnh Lộc, Thanh Hóa",0888222798
Chi nhánh Dược phẩm Vĩnh Lộc Quầy thuốc số 03,"Phố Mới, Vĩnh Tiến, Vĩnh Lộc, Thanh Hóa",0984153396
Chi nhánh Dược phẩm Vĩnh Lộc Quầy thuốc số 10,"Eo Lê, Vĩnh Quang, Vĩnh Lộc, Thanh Hóa",0985096472
Chi Nhánh Dược Vĩnh Lộc: Nguyễn Thị Hòa,"Tiểu Khu 2, Vĩnh Lộc, Vĩnh Lộc, Thanh Hóa",0914535449
QT Hoài Thương,"Số 16, Khu 2, Vĩnh Lộc, Vĩnh Lộc, Thanh Hóa",0934503666
Chi Nhánh DP Yên ĐịnhQuầy Thuốc Thành Dung Số 06 DS: Đoàn Thị Dung,"Phố Kiểu, Yên Trường, Yên Định, Thanh Hóa",0352027365
Chi nhánh dược Yên Định Quầy thuốc Ngô Thị Thơm,"Khu 5, Quán Lào, Yên Định, Thanh Hóa",0974900869
Chi nhánh dược Yên Định Quầy thuốc Nguyễn Thị Hiền,"khu 5, Quán Lào, Yên Định, Thanh Hóa",0949025667
CTCP VTYT Thanh Hóa CN DP Yên Định Nhà Thuốc GPP số 01 Quầy thuốc Trịnh Thị Hằng,"Khu 5, Quán Lào, Yên Định, Thanh Hóa",0839117868
Nhà thuốc Mai Thư,"Phố Kiểu, Yên Trường, Yên Định, Thanh Hóa",0913843017
QT Số 54,"Thôn 1, Yên Bái, Yên Định, Thanh Hóa",0988306851
QT Tín Thuật,"509, 10/06, Quán Lào, Yên Định, Thanh Hóa",0349621102
Quầy thuốc Hằng Tính NLL : Phạm Thị Hằng,"Phố Kiểu, Yên Trường, Yên Định, Thanh Hóa",0904606244
Quầy thuốc Hoa Phượng GPP số 5,"Số 151, Khu 5, Quán Lào, Yên Định, Thanh Hóa",0389262876
Quầy thuốc Kim Thoa Số 12 DS: Nguyễn Thị Thoa,"Thôn 5, Yên Phong, Yên Định, Thanh Hóa",0395574262
Quầy thuốc Mai Linh,"Khu 5, Quán Lào, Yên Định, Thanh Hóa",0984810563
CÔNG TY CỔ PHẦN THƯƠNG MẠI DƯỢC PHẨM MẠNH TÝ - VIỆT MỸ,"số 1 Đường Số 5, Cụm Công Nghiệp An Hòa, An Hòa, Huế, Thừa Thiên Huế",0912005945
Công Ty TNHH Thương Mai Dịch Vụ Dược Phẩm Phong Hà - DS Hồ Tất Khánh Hà,"Số 2, Trần Cao Vân, Vĩnh Ninh, Huế, Thừa Thiên Huế",0983128653
CTY TNHH DP Thuận Thảo - Ds: Bùi Kim Cúc,"34, Ngô Quyền, Vĩnh Ninh, Huế, Thừa Thiên Huế",0935352656
CTY TNHH Dược Phẩm Hồng Lan,"Số 03, Lê Thánh Tôn, Thuận Thành, Huế, Thừa Thiên Huế",0913468482
Nhà thuốc Bình An,"Số 6, Phạm Văn Đồng, Vĩ Dạ, Huế, Thừa Thiên Huế",0945717252
Nhà thuốc Đại Hùng II - Dược sĩ Nguyễn Khánh Thi,"Số 127, Trần Hưng Đạo, Phú Hòa, Huế, Thừa Thiên Huế",0934848777
Nhà thuốc Ngô Quý Thích,"Số 215, Bà Triệu, Phú Hội, Huế, Thừa Thiên Huế",0907703939
Nhà thuốc Ngô Quý Thích - Lương y Ngô Quý Thích,"Số 157, Trần Hưng Đạo, Phú Hòa, Huế, Thừa Thiên Huế",0914145253
Nhà thuốc Phú Hưng,"Sô 76, Chi Lăng, Phú Hội, Huế, Thừa Thiên Huế",0779577517
Nhà thuốc Phương Vinh,"Số117, Nguyễn Trải, Thuận Hòa, Huế, Thừa Thiên Huế",0972567950
Nhà Thuốc Tâm Phúc - DS : Phan Bá Phúc,"Số 27, Yết Kiêu, Thuận Hòa, Huế, Thừa Thiên Huế",0935178586
Nhà thuốc Tân Quang - Dược sĩ Nguyễn Thị Tân,"Kios 19, Chợ Đ.Ba, Phú Hòa, Huế, Thừa Thiên Huế",0339325323
Nhà thuốc Tân Thanh Hải,"Số 50, Ngô Quyền, Vĩnh Ninh, Huế, Thừa Thiên Huế",0905820918
Nhà thuốc Thanh Nữ - Dược sĩ Đoàn Thị Nữ,"Kios 20, Chợ Đ.Ba, Phú Hòa, Huế, Thừa Thiên Huế",0944710016
Nhà thuốc Thanh Toàn - Dược sĩ Ngô Đình Sơn,"Số 216, hùng Vương, An Cựu, Huế, Thừa Thiên Huế",0934934488
Nhà thuốc Thu Hương - Dược sĩ Nguyễn Thị Thu Hương,"Số 36, Đặng Huy Trứ, Trường An, Huế, Thừa Thiên Huế",0912152393
Nhà Thuốc Thuận Thái,"Số 22, Ngô Quyền, Vĩnh Ninh, Huế, Thừa Thiên Huế",0912645204
Nhà thuốc Vĩnh Phú - Dược sĩ Lê Thị Tuyến,"Số 56, Phan Bội Châu, Vĩnh Ninh, Huế, Thừa Thiên Huế",0935893463
Nhà Thuốc Y Học Cổ Truyền Ngô Quý Quý,"134, Chi Lăng, Phú Cát, Huế, Thừa Thiên Huế",0975991134
NT Đăng Khôi,"84, Bùi Thị Xuân, Phường Đúc, Huế, Thừa Thiên Huế",0946943883
NT Nhật Lan DS: Nguyễn Thị Cẩm Trinh,"Hành Lan B Chợ Đ.Ba, Vĩnh Ninh, Huế, Thừa Thiên Huế",0702704037
NT Phú Hải - NDD: Vũ Thị Khánh Ly,"6 Hai Bà Trưng, Vĩnh Ninh, Huế, Thừa Thiên Huế",0914538381
NT Thành Thảo,"Số 36, Ngô Quyền, Vĩnh Ninh, Huế, Thừa Thiên Huế",0932191007
NT Thanh Thảo - Trương Đức Huy,"66 Ngô Quyền, Vĩnh Ninh, Huế, Thừa Thiên Huế",0813516870
Nhà thuốc Bảo Hoàng - Dược sĩ Lê Thị Vân,"khu 3, Phú Bài, Phú Bài, Hương Thủy, Thừa Thiên Huế",0358066303
NT Thái Uyên,"Số 1142, Nguyễn Tất Thành, Phú Bài, Hương Thủy, Thừa Thiên Huế",0935367227
QT Kim Nhung (Thôn 3),"Thôn 3, Thủy Phù, Thủy Phù, Hương Thủy, Thừa Thiên Huế",0399652787
NT Tuyết Nhung,"Tổ Dân Phố 4, Hương Chữ, Hương Trà, Thừa Thiên Huế",0982950540
QT Nguyên Anh - Dược sĩ Hoàng Thị Ngọc Diệp,"Số 152, Bao Vinh, Hương Vân, Hương Trà, Thừa Thiên Huế",0917077961
QT Tây chợ Phò Trạch,"Chợ Phò Trạch,, Phong Điền, Phong Điền, Thừa Thiên Huế",0344305519
QT Nguyên Thảo,"Thôn Xuân Lai,, Lộc An, Phú Lộc, Thừa Thiên Huế",0948199969
Quầy thuốc tây Phương Lan,"Lộc Bổn, Lộc Bổn, Phú Lộc, Phú Lộc, Thừa Thiên Huế",0366466477
QT Hương Tú,"Thôn 1,, Vinh Thanh, Phú Vang, Thừa Thiên Huế",0987100199
QT Kim Thanh,"Thôn 2, Vinh Thanh, Phú Vang, Thừa Thiên Huế",0988239801
QT Lan Anh,"Thanh Dương, , Phú Diên, Phú Vang, Thừa Thiên Huế",0366043804
Quầy Thuốc Dung Nghị - DS TH : Võ Quang Vinh,"Ngả 3 Phường Tây, Phú Dương, Phú Vang, Thừa Thiên Huế",0782728687
Nhà Thuốc Bảo Hòa Đường,"An Hữu, Cái Bè, Tiền Giang",0944707576
Nhà thuốc Phùng Xuân Đường,"Số 138, An Hữu, Cái Bè, Tiền Giang",0949557479
Nhà thuốc số 79,"Số 213B, Trương Công Định, Cái Bè, Cái Bè, Tiền Giang",0932947588
NT Đông Bình. NLL Chị Nhân,"Số 195, Cái Bè, Cái Bè, Tiền Giang",0818772849
"NT Nhơn An Hòa, NLL C Mười","Hậu Mỹ Bắc A, Cái Bè, Tiền Giang",0376790349
QT Phương Vy,"An Thái Đông, Cái Bè, Tiền Giang",0347326026
Nhà thuốc Vạn Sanh Hòa,"số 60, Khu 2, 4, Cai Lậy, Tiền Giang",0983629906
NT Vĩnh An.,"Số 231, Trương Văn Sanh, 1, Cai Lậy, Tiền Giang",0763264145
Quầy thuốc Kiều Phương - NDD: Anh Sự,"Tam Bình, Cai Lậy, Tiền Giang",0979578000
Nhà thuốc Ngọc Cúc,"QL1A, Tân Hiệp, Châu Thành, Tiền Giang",0948680109
Nhà thuốc Như Lý Đường,"Bình Trưng, Châu Thành, Tiền Giang",0942377778
Nhà Thuốc Phương Tâm,"Số 175D/4, QL1A, Tân Hiệp, Châu Thành, Tiền Giang","0965191413, 02733831475"
Nhà thuốc Tế Hòa Đường - Lương Y Lê Ngọc Tấn,"Số 73/1, Tân Hội Đông, Châu Thành, Tiền Giang",0984993508
Nhà Thuốc Thanh Tâm,"Số 189/3, QL1A, Tân Hiệp, Châu Thành, Tiền Giang",0938443957
Nhà ThuốcĐức Dũng,"642/3, QL1A, Tân Hương, Châu Thành, Tiền Giang",0988252634
NT Nam Thanh,"Số 180/1 ấp Rẫy, Quốc Lộ 1A, Tân Hiệp, Châu Thành, Tiền Giang",0973616769
Quầy Thuốc Anh Duy,"Chợ Bưng ấp Khu Phố, Tam Hiệp, Châu Thành, Tiền Giang",0907363930
Nhà thuốc Lương Tế Đường,"Số 86, Ô 1, Chợ Gạo, Chợ Gạo, Tiền Giang",0949955296
Nhà thuốc Võ Văn Minh,"Số 8, Đăng Hưng Phước, Chợ Gạo, Tiền Giang",0385624696
NT Mai Linh 2,"Thửa 247, Bản Đồ số 11, Lương Hòa Lạc, Chợ Gạo, Tiền Giang",0763288871
QT Ngọc Loan - DS : Phạm Ngọc Loan,"64B Ô 1, Khu 2, Chợ Gạo, Chợ Gạo, Tiền Giang",0394518540
Nhà thuốc Liễu Tế Đường,"Số 100A, Lê Lợi, 1, Gò Công, Tiền Giang",0989639076
Nhà thuốc Phùng An Đường,"số 60, Hai Bà Trưng, 1, Gò Công, Tiền Giang",0913793142
Y học cổ truyền Trường Sanh Đường,"Số 86, Lê Lợi, 1, Gò Công, Tiền Giang",0794373353
Hủy - Quầy thuốc số 516,"Số 46, Thạnh Nhựt, Gò Công Tây, Tiền Giang",0905678195
Quầy thuốc số 52,"Thạnh Nhựt, Gò Công Tây, Tiền Giang",0849670349
Nhà thuốc Kim Phụng,"Số 220, Đinh Bộ Lĩnh, 2, Mỹ Tho, Tiền Giang","0937843433, 02733873746"
Nhà thuốc Ngọc Khánh,"Số 24, Đinh Bộ Lĩnh, 8, Mỹ Tho, Tiền Giang",0934198527
Nhà thuốc Phước Thành,"Số 250, Lý Thường Kiệt, 4, Mỹ Tho, Tiền Giang","0914807258, 02733870343"
Nhà thuốc Đồng Thanh,"Số 2, Đinh Bộ Lĩnh, 2, Mỹ Tho, Tiền Giang",0902643349
Nhà thuốc Đức Sanh Đường,"Số 93, Trưng Trắc, 1, Mỹ Tho, Tiền Giang","0949967906, 02733872906"
Nhà thuốc Hạnh Hoà Đường,"Số 27, Nguyễn Huệ, 1, Mỹ Tho, Tiền Giang",02733875246
Nhà thuốc Kim Nga,"Số 37/6A, Lê Thị Hồng Gấm, 6, Mỹ Tho, Tiền Giang",0944151523
Nhà thuốc Mai Linh,"Số 118, Ấp Bắc, 4, Mỹ Tho, Tiền Giang","0948871444, 02733881821"
Nhà thuốc Mai Loan,"Số 130, Phongấp, Tân Mỹ Chánh, Mỹ Tho, Tiền Giang",02733850078
Nhà thuốc Như Mai,"Số 248B, Trần Hưng Đạo, 4, Mỹ Tho, Tiền Giang",0968924636
Nhà Thuốc Phương Thảo,"Số 120, Lý Thường Kiệt, 4, Mỹ Tho, Tiền Giang",0973878781
Nhà thuốc số 17,"Số 253, QL50, 9, Mỹ Tho, Tiền Giang",0919169951
Nhà thuốc Tam Dân,"Số 37, Nguyễn Huệ, 1, Mỹ Tho, Tiền Giang",0357001957
Nhà Thuốc Tây Hậu 2,"Số 516, Nguyễn Thị Thập, 6, Mỹ Tho, Tiền Giang",0947515000
Nhà thuốc Thảo Nguyên,"Số 123, Nguyễn Huệ, 7, Mỹ Tho, Tiền Giang",0919445743
Nhà thuốc Thiên Thọ Đường,"Số 227, Nam Kỳ Khởi Nghĩa, 4, Mỹ Tho, Tiền Giang",0937514488
Nhà thuốc Vạn Thọ Đường,"Số 15/6, Trần Hưng Đạo, 6, Mỹ Tho, Tiền Giang",0909153376
Nhà thuốc Vân Trang,"Kiot 1-2, Học Lạc, 8, Mỹ Tho, Tiền Giang",0915817659
Nhà thuốc Phuớc Tế Đường,"Càng Long, Càng Long, Trà Vinh",0369343595
QT Thân Thị Trinh,"Khóm 2,, Càng Long, Càng Long, Trà Vinh",0939422585
Nhà thuốc Hoa Việt,"Cầu Kè, Cầu Kè, Trà Vinh",0918834072
Nhà thuốc Đại Đồng - NLH : Lý Gia Bằng,"Số 25, Đề Triệu, Cầu Ngang, Cầu Ngang, Trà Vinh",0902047102
Nhà thuốc Thái Sơn Ký,"Số 24, Dương Công Nữ, Cầu Ngang, Cầu Ngang, Trà Vinh","0907322828, 02943825072"
Nhà Thuốc Minh Mẫn,"Khóm 1, 2, Duyên Hải, Trà Vinh",0939196679
Nhà thuốc Vĩnh An Đường,"Khóm 5, Trà Cú, Trà Cú, Trà Vinh","0367662548, 0327644780"
Nhà thuốc Bảo Thọ Đường - DS Tiêu Trung Cường,"Số 4, Hùng Vương, 4, Trà Vinh, Trà Vinh","0982051196, 02943854196"
Nhà thuốc Đức Thành,"Số 107, Lý Thường Kiệt, 3, Trà Vinh, Trà Vinh","0915503386, 0982413409"
Nhà thuốc Huệ Quần - DS Đỗ Thị Thanh Trúc,"Số 285, Lê Lợi, 3, Trà Vinh, Trà Vinh","0939056787, 02943858838"
Nhà Thuốc Minh Châu,"72 Lê Lợi, Khóm 1, 3, Trà Vinh, Trà Vinh",0386679375
Nhà thuốc Phúc Thọ Xuân - Lương Y Lê Kim Hảnh,"Số 54, Hùng Vương, 4, Trà Vinh, Trà Vinh","0772285802, 02943853143"
Nhà thuốc Tòng Thọ - Lương Y Trần Thị Ngọc Oanh,"Số 99, Lý Thường Kiệt, 3, Trà Vinh, Trà Vinh","0983033050, 02943852351"
QT Chu Thế Hội,"Thôn Đầm Hồng 2, Thôn Đầm Hồng 2,, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0912269133
QT Huyền Trang,"Vinh Quang, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0356387898
QT Ma Thị Thuyến,"Tổ Trung Tâm, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0366932577
QT Nguyễn Thị Thu,"Thôn Hợp Long 1, Yên Nguyên, Chiêm Hóa, Tuyên Quang",0967944195
QT Vũ Thị Phương,"Ngọc Hội, Ngọc Hội, Chiêm Hóa, Tuyên Quang",0374151345
Quầy Thuốc Canh Lan,"Tổ Luộc 2, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0982027767
Quầy thuốc Lã Thị Oanh,"32,Tổ Vĩnh Tài, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0963060204
Quầy Thuốc Lưu Duy Phương - NDD: Lưu Duy Phương,"Phúc Tịnh, Phúc Thịnh, Chiêm Hóa, Tuyên Quang",0982019808
Quầy Thuốc Ma Thị Minh,"Tổ Phố Mới 1, Vĩnh Lộc, Chiêm Hóa, Tuyên Quang",0987658468
QT Hoàng Thị Huyền Trang,"Số 391, Quốc Lộ Km 41, Tân Yên, Hàm Yên, Tuyên Quang",0984468002
QT Trình Thương,"Thôn gạo , Đức Ninh, Hàm Yên, Tuyên Quang",0359486888
Quầy Thuốc Dũng Lành,"Bình Xa, Tân Yên, Hàm Yên, Tuyên Quang",0384854999
Quầy Thuốc Hải Tươi,"Km 31, Thái Sơn, Hàm Yên, Tuyên Quang",0987846689
Quầy Thuốc Hoàn Lâm,"Tân Yên, Hàm Yên, Tuyên Quang",0975243469
Quầy Thuốc Ích Thoa,"Thôn Tân Bình 1, Bình Xa, Hàm Yên, Tuyên Quang",0339438248
Quầy Thuốc Vũ Hồng Nhung,"Tân Yên, Hàm Yên, Tuyên Quang",0983373022
NT Trung Tâm Y Tế Na Hang NDD: Hoàng Thị Lương,"Tổ 9, Nà Hang, Nà Hang, Tuyên Quang",0383961562
Quầy thuốc Thu Hiền -Người đại diện: Đậu Thị Thu Hiền,"Tổ DP Tân Phú, Sơn Dương, Sơn Dương, Tuyên Quang",0979835391
Công ty TNHH Thương Mại Dược Phẩm Dũng Bích,"Số 12, Đường Quang Trung, Tân Quang, Tuyên Quang, Tuyên Quang",0357109638
Công ty TNHH Thương Mại và Dược Phẩm Lâm Hạnh,"Số 44, Đường Lương Sơn Tuyết, Tân Quang, Tuyên Quang, Tuyên Quang","0982108469, 0273823883"
Hủy- NT Nguyễn Thị Thùy Liên,"SN 155, Tổ 1, Hưng Thành, Tuyên Quang, Tuyên Quang",0969274490
Nhà thuốc Huyên Kiều,"292 Tổ 23, Tân Hà, Tuyên Quang, Tuyên Quang",0983825777
Nhà thuốc Bùi Minh Đức,"Tổ 6, An Tường, Tuyên Quang, Tuyên Quang",0948143287
Nhà thuốc Bùi Thị Tự Giang,"Tổ 14, Đội Cấn, Tuyên Quang, Tuyên Quang",0334370741
Nhà Thuốc Hương Giang,"Số 83, Tổ 10, Minh Xuân, Tuyên Quang, Tuyên Quang",0382924993
Nhà Thuốc Vân Lan,"Tổ 10, Đội Cấn, Tuyên Quang, Tuyên Quang",0389062689
NT Bình Minh,"Số 246B, Đường Trường Chinh, Tân Hà, Tuyên Quang, Tuyên Quang",0965566855
